11/30-_5	49.6824	99.36	494749.859	6442323.703	1000
11/30-_5	740.664	663.00	494749.859	6442323.703	2234.280543
11/30-_5	813.816	715.00	494749.859	6442323.703	2276.408392
11/30-_5	947.928	801.00	494749.859	6442323.703	2366.861423
11/30-_5	1176.528	957.00	494749.859	6442323.703	2458.783699
11/30-_5	1469.136	1150.00	494749.859	6442323.703	2555.01913
11/30-_5	1642.872	1268.00	494749.859	6442323.703	2591.280757
11/30-_5	1901.952	1448.00	494749.859	6442323.703	2627.005525
11/30-_5	2008.632	1512.00	494749.859	6442323.703	2656.920635
11/30-_5	2179.32	1598.00	494749.859	6442323.703	2727.559449
11/30-_5	2359.152	1680.00	494749.859	6442323.703	2808.514286
11/30-_7	606.9	582.8	498030.231	6443054.207	2082.704187
11/30-_7	888.8	792.4	498030.231	6443054.207	2243.311459
11/30-_7	966.5	838.2	498030.231	6443054.207	2306.132188
11/30-_7	1187.5	995.2	498030.231	6443054.207	2386.454984
11/30-_7	1332.3	1089.2	498030.231	6443054.207	2446.382666
11/30-_7	1515.2	1210.6	498030.231	6443054.207	2503.221543
11/30-_7	1734.6	1365.2	498030.231	6443054.207	2541.16613
11/30-_7	1970.8	1519.2	498030.231	6443054.207	2594.523433
11/30-_7	2013.5	1541.6	498030.231	6443054.207	2612.221069
11/30-_7	2130.9	1604.8	498030.231	6443054.207	2655.658026
11/30-_7	2141.5	1609.8	498030.231	6443054.207	2660.578954
11/30-_7	2191.8	1636	498030.231	6443054.207	2679.462103
11/30a-_8	167	334.00	491330.394	6439080.771	1000
11/30a-_8	2059	592.20	491330.394	6439080.771	6953.731847
11/30a-_8	2559	702.80	491330.394	6439080.771	7282.299374
11/30a-_8	3059	803.20	491330.394	6439080.771	7617.031873
11/30a-_8	3383	869.40	491330.394	6439080.771	7782.378652
11/30a-_8	3885	979.40	491330.394	6439080.771	7933.42863
11/30a-_8	4302	1059.60	491330.394	6439080.771	8120.0453
11/30a-_8	4802	1152.80	491330.394	6439080.771	8331.020125
11/30a-_8	5155	1226.80	491330.394	6439080.771	8403.977828
11/30a-_8	5505	1299.80	491330.394	6439080.771	8470.533928
11/30a-_8	5864	1378.00	491330.394	6439080.771	8510.885341
11/30a-_8	6364	1478.00	491330.394	6439080.771	8611.637348
11/30a-_8	6762	1548.00	491330.394	6439080.771	8736.434109
11/30a-_8	6965	1578.00	491330.394	6439080.771	8827.629911
11/30a-_8	7410	1648.00	491330.394	6439080.771	8992.718447
11/30a-_8	7714	1692.20	491330.394	6439080.771	9117.125635
11/30a-_8	8139	1754.20	491330.394	6439080.771	9279.443621
11/30a-_9	577.7	561.2	491059.737	6439263.217	2058.802566
11/30a-_9	627.3	599.8	491059.737	6439263.217	2091.697232
11/30a-_9	670.0	637	491059.737	6439263.217	2103.610675
11/30a-_9	707.1	661.6	491059.737	6439263.217	2137.545345
11/30a-_9	738.4	685	491059.737	6439263.217	2155.912409
11/30a-_9	766.8	704.2	491059.737	6439263.217	2177.7904
11/30a-_9	793.4	720.4	491059.737	6439263.217	2202.665186
11/30a-_9	818.7	737.2	491059.737	6439263.217	2221.106891
11/30a-_9	864.4	767	491059.737	6439263.217	2253.976532
11/30a-_9	872.9	753.8	491059.737	6439263.217	2315.998939
11/30a-_9	885.1	779.6	491059.737	6439263.217	2270.651616
11/30a-_9	905.2	792.2	491059.737	6439263.217	2285.281495
11/30a-_9	924.7	805.6	491059.737	6439263.217	2295.680238
11/30a-_9	943.8	819.8	491059.737	6439263.217	2302.512808
11/30a-_9	962.6	830	491059.737	6439263.217	2319.518072
11/30a-_9	980.7	843.8	491059.737	6439263.217	2324.484475
11/30a-_9	998.6	856.6	491059.737	6439263.217	2331.543311
11/30a-_9	1016.0	867.2	491059.737	6439263.217	2343.173432
11/30a-_9	1033.0	879.4	491059.737	6439263.217	2349.329088
11/30a-_9	1049.9	889.6	491059.737	6439263.217	2360.386691
11/30a-_9	1067.0	901.8	491059.737	6439263.217	2366.378354
11/30a-_9	1084.1	916.2	491059.737	6439263.217	2366.513862
11/30a-_9	1101.4	929.4	491059.737	6439263.217	2370.131267
11/30a-_9	1119.2	941.2	491059.737	6439263.217	2378.240544
11/30a-_9	1137.1	951.8	491059.737	6439263.217	2389.367514
11/30a-_9	1173.7	975.2	491059.737	6439263.217	2407.09598
11/30a-_9	1182.7	963	491059.737	6439263.217	2456.282451
11/30a-_9	1193.4	989.2	491059.737	6439263.217	2412.858876
11/30a-_9	1193.4	996.4	491059.737	6439263.217	2395.423525
11/30a-_9	1213.2	1003.2	491059.737	6439263.217	2418.660287
11/30a-_9	1233.2	1016.2	491059.737	6439263.217	2427.081283
11/30a-_9	1253.1	1025.2	491059.737	6439263.217	2444.596176
11/30a-_9	1273.5	1039.2	491059.737	6439263.217	2450.923788
11/30a-_9	1293.8	1053	491059.737	6439263.217	2457.359924
11/30a-_9	1314.2	1065.4	491059.737	6439263.217	2467.054627
11/30a-_9	1334.9	1078.4	491059.737	6439263.217	2475.704748
11/30a-_9	1356.2	1092.2	491059.737	6439263.217	2483.427944
11/30a-_9	1377.5	1104.4	491059.737	6439263.217	2494.567186
11/30a-_9	1398.4	1119.8	491059.737	6439263.217	2497.588855
11/30a-_9	1421.0	1133.2	491059.737	6439263.217	2507.942111
11/30a-_9	1444.7	1148	491059.737	6439263.217	2516.898955
11/30a-_9	1468.1	1163	491059.737	6439263.217	2524.677558
11/30a-_9	1491.1	1179.4	491059.737	6439263.217	2528.573851
11/30a-_9	1514.1	1193.6	491059.737	6439263.217	2537.030831
11/30a-_9	1535.6	1208	491059.737	6439263.217	2542.384106
11/30a-_9	1556.7	1220.6	491059.737	6439263.217	2550.712764
11/30a-_9	1577.6	1235.4	491059.737	6439263.217	2553.99061
11/30a-_9	1598.5	1247.2	491059.737	6439263.217	2563.341886
11/30a-_9	1619.3	1261.6	491059.737	6439263.217	2567.057705
11/30a-_9	1640.3	1273.8	491059.737	6439263.217	2575.443555
11/30a-_9	1661.5	1289.2	491059.737	6439263.217	2577.567484
11/30a-_9	1682.5	1303.2	491059.737	6439263.217	2582.105586
11/30a-_9	1704.0	1319.2	491059.737	6439263.217	2583.383869
11/30a-_9	1726.1	1335	491059.737	6439263.217	2585.917603
11/30a-_9	1748.9	1350	491059.737	6439263.217	2590.962963
11/30a-_9	1748.9	1346.6	491059.737	6439263.217	2597.504827
11/30a-_9	1771.4	1364.4	491059.737	6439263.217	2596.599238
11/30a-_9	1794.3	1381.6	491059.737	6439263.217	2597.423277
11/30a-_9	1817.3	1396.6	491059.737	6439263.217	2602.463125
